Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.405170173,3.172088896,4.538001229,6.013721525,-0.315820905,-5.45157181,2.76022165,2.854520078,2.095823858,-0.784777799,1.482769048,2.608624676,1.34409201,1.218308584,0.599047394,0.376089823,0.762714221,-3.532538478,1.426484772,
Africa Western and Central,AFW,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745033202,2.050846087,6.156808217,7.191775493,8.92823265,4.508006517,8.163442889,-10.47239999,7.032533908,8.679669027,3.844039298,0.243224397,-1.132528525,-8.108517318,-0.783148836,1.561411427,1.705828047,-0.230794257,-9.015546944,,
Caribbean small states,CSS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.355846039,2.804732544,4.868818955,1.75139043,3.801039491,4.698400103,5.05500911,3.782764906,6.340289049,7.081208322,6.097849701,7.629943313,5.869532064,-2.657070869,0.253604799,2.527156638,1.241905106,1.663247998,4.305296434,5.143841461,3.479049063,5.786743057,5.140114355,4.807508608,-2.146979891,5.682522349,
Early-demographic dividend,EAR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,7.161315265,15.85322199,-4.633871644,-6.346931847,-21.00024354,1.426549721,11.80147525,-2.960922723,4.792044342,8.802117908,9.312982184,-1.054145828,-9.072027667,0.693115873,-13.29100738,-4.138758176,-4.980727242,-2.512884745,17.45152675,-11.04015253,14.44967203,2.276027101,8.806456519,16.13940336,1.028951989,1.516756291,5.877562902,3.844530724,1.689352768,2.135857689,1.930969026,2.074129847,4.007559601,3.436673482,1.781108754,1.065022434,-6.698846965,5.649468634,
East Asia & Pacific,EAS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.883899103,0.550836198,-8.78491855,-0.197505899,1.171860364,2.0757561,12.41674802,-2.469204787,10.42022612,3.844233897,7.220758267,13.04003237,0.610680855,4.617875185,6.468092494,2.174053234,5.864380054,4.037327866,4.693647145,5.52536959,4.901107175,4.55459681,2.325676134,2.382407148,-1.884388417,4.537918314,
East Asia & Pacific (excluding high income),EAP,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.2117319,2.315337566,-17.12016192,-0.353704041,-1.38878536,5.622551985,35.32638556,-7.609282186,23.50219675,7.911974996,15.38499601,25.17861069,4.99058571,11.83524335,7.491805688,4.073597758,8.796901936,5.01090401,7.059726344,6.411906007,6.599296549,6.043458607,3.605744749,3.759802053,-0.803351483,6.392336215,
East Asia & Pacific (IDA & IBRD countries),TEA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.21442046,2.311517753,-17.12348769,-0.357505358,-1.392601356,5.61821913,35.32017221,-7.612192221,23.50034076,7.909574608,15.38164218,25.17439537,4.98673886,11.83133774,7.487778227,4.068729003,8.790935843,5.005893816,7.055649673,6.408771309,6.596238085,6.040000076,3.603482775,3.758400336,-0.803835973,6.393131403,
Euro area,EMU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,2.647720359,4.403686625,4.751376226,-0.114935323,-1.554150428,4.515219953,2.494267092,3.057251295,2.839594471,-0.530803234,-1.739723714,0.462705041,1.53869225,2.222815909,2.365240888,5.08068726,2.866560651,4.28389627,3.289831075,3.219336567,1.650240738,1.066429675,-1.232547212,2.046164106,2.465570485,1.572524292,2.471593241,3.164750682,2.806752204,2.155831448,1.565386696,0.238958974,0.257586787,2.052841232,0.741561988,2.588938293,2.286679053,-1.725994283,-4.095385199,1.526188738,1.22886492,-1.485885148,-0.181819387,1.431380763,2.133122497,2.426846343,2.098306468,1.463210376,1.172367884,-7.783629378,5.463622804,
Europe & Central Asia,ECS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,2.190504209,-0.860998816,-1.826804519,0.332669328,1.506798139,1.894976789,2.053465166,4.67218322,2.541963042,3.786241712,2.642967106,2.492595305,1.173004714,1.164101102,-1.907936283,2.112280798,2.11275339,2.376444543,3.309597607,3.454844842,3.250148007,3.581201643,2.004824328,1.093473891,1.713769954,3.222103039,2.455331108,3.291095362,3.17069454,-1.055341542,-4.884425869,2.963913133,1.436565272,-0.432116767,0.181567896,1.573148597,1.563801706,1.404826542,2.311950893,1.612052965,1.218954966,-6.536798382,5.443666325,
Europe & Central Asia (excluding high income),ECA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0757433,4.023505915,3.813807956,6.018252726,11.49523714,9.211820142,10.73319834,12.5242838,5.461102666,-11.3671681,7.582350128,6.891432271,3.135433875,0.274219957,0.498547998,-2.193623477,-1.633094837,4.057884789,4.544141685,2.284343642,-2.330087829,3.963257886,
