Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884145603,1.790566014,1.705219906,1.645437584,1.606314383,1.516170671,1.538309487,1.589123616,1.42462138,1.336355874,1.357103038,1.346964286,1.27194978,1.334349689,1.428571797,1.39097914,1.478011353,1.395613453,1.322399993,1.290765545,1.339463175,1.267515601,1.217418956,1.288609112,1.281365521,1.280685252215283
Low income,LIC,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,28.39203952,28.31328249,28.62073288,27.15622701,30.6828129,30.49258051,32.24615964,35.59093694,33.57034896,34.74158296,36.86272636,34.52340704,32.4153027,31.92620989,32.45819025,31.40676423,31.28106271,32.65538774,28.75901473,27.39707313,27.20421077,26.99694467,26.52467536,24.56367291,23.76050089,24.08836919,23.640767,23.63382858,26.05418826,23.55415045,24.55006269,27.51925797,26.13549249,26.71701568,26.85161872,26.03021574,26.06889634,26.37280917,26.70190758,27.75587554,26.27407492,25.58124013
Lower middle income,LMC,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,42.07406588,40.87307361,42.82349383,42.20049779,41.35479393,38.79934133,38.04422042,36.78503248,37.06636997,32.9953934,31.82440898,27.22362083,27.64487158,28.57963861,27.071989,26.58565118,23.09507657,22.77881486,22.8173519,23.13230805,22.58073521,22.47903067,23.73568999,24.15026893,23.534656,23.09071263,23.37546194,22.34466424,21.93779999,22.02469739,21.48111321,21.45394853,21.19838177,21.31924119,19.62039757,18.71260208,18.51246144,18.2424742,17.94544944,16.63194805,16.03169563,15.4567893,15.20972204,15.11702755,15.64652371,15.46471488,15.0872397,14.93163998,15.37853121,15.41146611,15.5168906,15.35962434,15.25095031,15.05497019,15.30078825,16.54766137,15.94121915,15.49386831
Upper middle income,UMC,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.70201688,26.43405878,27.33790865,27.7301044,26.17269262,26.11137464,25.92246676,26.18471135,25.74265561,23.9253429,22.80982074,21.77260652,21.16837839,21.14933437,20.42969413,19.68256727,18.92478366,18.10239342,17.63848705,17.86633919,15.3747887,15.00768239,15.62301817,16.1579581,15.77307589,15.02906634,14.91193982,14.23169743,14.50468015,15.0522197,13.79479321,12.94506863,11.25559882,10.56385484,10.32993722,10.28778706,10.39235124,9.7425383,9.578837034,9.459244086,8.542836382,8.453300778,8.884521561,8.704034841,8.579533945,7.727594507,7.204028857,7.183516012,7.310142964,7.473791744,7.242152848,7.168488088,7.051223126,7.059652438,7.045101689,7.193930704,7.161133002,6.689488662,6.402410364,6.515600425,7.261271964,7.003320253,6.949754338
World,WLD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,7.465658424,7.48820355,7.293658845,7.044427148,6.639096574,5.932339877,5.578057968,5.420773746,5.348438714,5.089799017,4.619854083,4.11380301,4.01049163,3.937683272,3.908535627,4.054893571,3.96006763,3.847766722,3.51305508,3.394693076,3.376785074,3.33617323,3.325931579,3.364583074,3.23754978,3.217681273,3.389021453,3.555229361,3.68685649,3.884798129,3.983686707,4.022482332,4.15715984,4.14308793,4.23034352,4.1802767,4.14800108,3.95297395,4.015511722,4.358549273,4.298246437,4.328273931
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,35.70652700651647
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41086377,31.54344388,28.78565044,25.91874552,24.51541204,22.7161642,22.02511409,21.97825708,20.53748631,18.84530872,17.70835362,17.15361957,16.83705384,16.7943836,17.9558664,18.2267896,18.76680189,19.56515781,19.99018136,19.78021442,19.84999447,19.02212664,18.4294953,18.38933234,19.22522271,18.35812525,18.62282145
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10697987,8.395048495,9.749419994,9.224982107,9.810558037,9.440477389,7.691314872,7.543077591,7.570625794,6.586675992,9.343365411,8.466443577,8.11058988,8.770686355,9.851117128,10.28639707,11.57870734,12.2200948,11.75608873,11.87437174,12.33695281,13.7842387,12.17565774,11.58518968
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517055748,0.441953155,0.385887246,0.419117893,0.414741998,0.380576808,0.353522338,0.368796684,0.406917964,0.418928933,0.466508602,0.490560827,0.601164454,0.585558984,0.537623493,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248,0.55944277,0.53361793,0.495686275
