Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,9356.000235,10210.59987,11729.09992,13677.5001,14681.29991,14630.80014,16261.60035,18007.3001,19887.39978,21656.99968,22480.10038,23543.4003,23933.39975,26921.79995,30694.99956,30977.30014,33985.30003,38146.10011,42679.80002,46451.00028,47891.60029,47756.50014,51780.99966,56836.10013,65006.90042,70426.20032,76164.69999,88201.80111,87511.77443,93344.61834,101088.541,94145.185,99879.587,105241.614,116717.872,118283.662,124633.453,131017.556,129934.423,144617.2827,143947.0273,144960.7623,137484.0027,136547.4484,142733.2651,143701.3034,148100.2597,159409.7439,163878.3686,159806.1608,137631.7876,164801.0143,164801.0143
Low income,LIC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,87.50000034,93.09999855,99.19999933,111.7000021,149.2000021,169.3,194.6000011,184.8000011,198.199999,230.500001,243.200001,270.0000019,272.6999996,252.899998,265.7999974,294.7000014,295.8000051,338.2000019,333.8999952,368.5999995,340.1000016,270.3000038,289.3999992,277.800001,328.2,306.9999959,307.7999986,332.2999966,279.9999973,295.6000008,291.177,248.2730001,290.9264986777778,333.57999725555555,376.2334958333333,418.8869944111111,461.5404929888889,504.1939915666667,546.8474901444445,589.5009887222222,632.1544873,747.4241395,962.6674319,992.492088,1101.696157,1307.72731,1559.357562,2131.02256,2156.427014,2508.884818,3147.3339255,3785.783033,3785.783033
Lower middle income,LMC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,447.5000087,535.2000059,629.0000128,850.4000095,920.6999862,1142.199998,1412.70001,1492.300004,1570.700017,1681.800026,1771.89997,1916.099979,1942.199995,2285.599987,2390.300006,2151.500006,2047.200017,2455.00002,2713.199999,2758.69999,2655.200039,2411.800002,2374.100004,2330.599977,2871.299997,3097.300041,3087.500011,3248.500023,2906.199976,2896.399993,3108.404,3034.232,2809.799,2965.055,3400.943,3603.044,3754.011,3560.205,3739.776,3540.243,4874.999763,4815.042636,4813.423051,4914.108679,5139.320611,4843.254908,5064.157627,6051.489739,6707.357567,6342.266233,3386.14205,4338.726413,4394.378325316327
Upper middle income,UMC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,1118.40001,1222.499997,1356.80002,1522.899985,1813.199985,1949.900006,2181.900005,2489.100027,2762.400038,2844.299973,3383.800045,3555.100026,3904.600035,4335.500007,4576.499981,4688.500033,5125.500022,5571.499937,6406.300085,7924.900089,8763.099906,9167.90004,9487.99998,11010.90009,11042.2999,12024.99991,13735.989,13381.285,14569.845,15750.709,18620.811,19269.673,20185.949,23289.039,24428.913,26787.928,33043.22929,33001.43922,32301.57702,33962.30982,36538.75927,38507.0049,40860.50347,46033.59806,49414.54757,50866.95242,38565.48776,46301.69898,48044.53706893507
World,WLD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,15568.70012,16955.19991,17236.20014,19300.30038,21322.80009,23579.89978,25626.69971,26825.20036,28360.5003,29046.29979,32407.89991,36841.9996,37061.70017,40331.80009,45392.70014,50418.59999,54428.20029,56124.90035,56142.30008,61025.19974,67522.60019,77183.30033,83098.2004,89164.59998,102876.1012,101788.2743,108629.6182,118257.211,110860.835,117506.673,124203.199,139032.94,141483.603,148937.604,158205.946,158487.874,175509.3437,182498.6271,183532.2301,175567.3422,176421.5578,185517.1095,188363.4163,195588.2751,213628.6472,222156.7008,219524.4478,182526.1849,219227.3285,222156.7008
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,7.599999905,2.099999905,0.800000012,1.100000024,13.30000019,10.5,12.89999962,13.89999962,12.89999962,19.10000038,21.39999962,19.39999962,18.29999924,11.39999962,19.79999924,19.89999962,7.5,8.100000382,8.800000191,11.5,9.399999619,8.399999619,8.399999619,6.699999809,12.30000019,12.89999962,13.5,35.40000153,15.0,7.400000095,7.813,17.83364871,27.85429742,37.87494613,47.89559484,57.91624355,67.93689226,77.95754097,87.97818968,97.99883839,108.0194871,109.4211175,116.6607234,84.621216,34.283472,33.10203859,29.0108809,21.46255651,29.5593488,20.01420595,19.87890239,12.02012473,10.558610035288769
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.144,0.088,0.099,0.1,0.105,0.107,0.106,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,3.099999905,3.700000048,4.199999809,5.199999809,6.599999905,7.199999809,9.100000382,9.0,11.19999981,12.30000019,12.89999962,14.19999981,15.89999962,28.20000076,14.89999962,21.0,7.699999809,13.30000019,13.89999962,23.10000038,14.60000038,24.29999924,20.20000076,21.29999924,24.20000076,21.0,16.0,16.79999924,18.79999924,15.39999962,12.647,18.346,17.89,19.091,21.44,31.624,23.694,16.572,16.985,4.317,15.906,14.826,14.926,17.50241863,21.66233319,21.90164517,21.591025,24.80375,28.28048,25.641745,15.638799,12.694836,11.723202236735949
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.00953562,0.010562811,0.010932,0.011652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
