Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,-2.693391157,1.471830649,-5.915853607,-5.784080898148148,-5.6523081892962965,-5.520535480444444,-5.388762771592592,-5.256990062740741,-5.125217353888889,-4.993444645037037,-4.861671936185185,-4.729899227333333,-4.5981265184814815,-4.466353809629629,-4.334581100777777,-4.202808391925926,-4.071035683074074,-3.9392629742222223,-3.80749026537037,-3.6757175565185194,-3.5439448476666664,-3.4121721388148147,-3.280399429962962,-3.148626721111111,-3.016854012259259,-2.885081303407407,-2.7533085945555555,-2.6215358857037034,-2.489763176851852,-2.357990468,2.236019434,-3.643313896,-12.61953809,-25.87068133,-25.29005842,-15.77241979,-21.91265722,-14.95019519,-18.95596122,-21.58527406,-20.17046447,-15.71830278,-15.097864237906016,-14.501915870731267
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,-1.512917954,-1.918768497,-0.152575213,0.249904333,-1.321154499,-1.744271201,-5.831740963,-15.27885232,-7.773987153,1.257049317,-8.362791553,-0.480615552,-3.353501414,-12.0536115,-2.555809358,-4.837923867,-4.490920852,-5.542947809,-9.372437995,-7.249665323,-4.981782617,-7.097241321,-7.541575969,-10.77810238,-15.62852969,-15.38048777,-11.36586585,-12.93310145,-10.20017623,-9.274187789,-10.77539904,-8.604880468,-7.590825999,-7.544228752,-6.704921682,-7.91371112,-8.669828198,-7.638882826,-5.903748726
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,-11.0870549,-13.42592085,-4.908785143,0.588307686,0.202716806,-0.405106017,-0.174582799,0.138639759,1.75145888,-3.501168728,0.211615709,-3.451788319,-1.943066271,2.288952765,5.177027973,6.2732124970714285,7.369397021142857,8.465581545214286,9.561766069285714,10.657950593357144,11.754135117428572,12.8503196415,13.94650416557143,15.042688689642858,16.138873213714287,17.235057737785713,18.331242261857145,19.42742678592857,20.52361131,24.71475024,22.48795882,19.8562389,0.314599576,7.580467655,8.836355521,5.784238934,0.566324667,-4.332970302,-16.28977071,-16.37402777,-12.97349131,-9.66530006,-9.870905239,-12.47879455,-2.761667502,9.762109384
American Samoa,ASM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01046529,15.52642381,14.05759691,0.0
Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,2.579838388,-4.281599939,5.525832207,-5.344658528,-1.293113264,-2.095890162,-5.57244,-8.844382695,-10.98659286,-7.656048282,-5.326960766,49.97950621,-11.51130299,-28.69690355,-27.79833286,8.715063659,-16.01295109,-0.981927167,-4.039582397,2.892476179,13.89709882,20.40780782,16.21239743,8.125542623,-10.76938368,8.957042208,11.70468355,10.80895748,6.154696213,-2.756200438,-11.35165549,-5.84742399,-0.858821843,9.317233977,7.246181249,1.797710855,12.62978006,11.0157092
Antigua and Barbuda,ATG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,-12.38761566,-2.503432505,-17.87679114,-14.30408061,-22.118247,-25.30886567,-4.996044534,0.287945388,-9.588088862,-40.72618368,-33.00518448,-11.29773574,-18.60736506,-6.743674279,-6.419295561,-1.976914974,2.813207195,-1.076370126,-0.089820743,-9.379511066,-6.960444476,-6.425743683,-7.886439717,-8.080317497,-7.107574145,-10.11889205,-11.39183923,-10.34014521,-16.76432904,-25.20279174,-29.36673687,-26.21554156,-13.76054238,-14.54748988,-9.185163964,-12.57029033,-15.42145396,0.241675707,2.055897337,-2.367200173,-7.706193961,-14.06308659,-6.946953594,-16.35096971,-15.21700711,-15.23353011
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,-2.224860718,-2.208187933,-1.076720075,-2.691739866,-3.884272018,-1.238497416,-1.702995989,3.220314484,-0.341028913,-2.424941347,-3.466178295,-4.264858985,-1.983460274,-2.487593011,-4.144680066,-4.844316045,-4.212295062,-3.159922377,-1.406947885,8.970784678,6.379906802,1.950583243,2.653631422,2.794495643,2.103616039,1.499401416,2.178566962,-0.3831187,-1.007280841,-0.391595124,-2.377495666,-1.74400212,-2.962926665,-2.709221684,-4.839959218,-5.160552572,-0.779998448,0.696935361,1.361850535,-0.679748559
Armenia,ARM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.637998559,-7.891063261,-15.02924379,-20.17628794,-20.47821361,-21.97510346,-16.93557041,-15.7812103,-10.43981657,-6.220104597,-6.181198505,-2.204359176,-2.528324146,-2.395372897,-7.356601338,-14.22464794,-16.48371164,-13.6219483,-10.44032819,-9.962331642,-7.316246571,-7.767866332,-2.661807056,-0.956577969,-1.26072402,-7.228123024,-7.05686573,-3.997773907,-3.479973958,0.773792976
Aruba,ABW,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.600550964,-4.627720504,-7.425093633,-6.714859438,-20.67932798,-24.02306214,4.568764569,3.852501289,6.506726457,-0.021150592,-5.008097166,-12.78264041,-1.127138544,-25.27788586,11.05687226,16.28087424,-17.34345189,-8.099022673,12.01368533,4.447572928,12.57421133,9.645360358,0.003930034,6.722391272,-18.75253732,-9.877655997,3.473451275,-11.81320642,-4.658576876,3.994141686,4.731777741,1.11979545,-0.591367073,2.497109655,-12.36682638,2.554056225,6.504225686
Australia,AUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.115976638,-4.987589234,-3.247621086,-3.16827028,-2.976186674,-4.914165552,-5.070874894,-3.589145078,-2.7340054,-4.448752887,-5.593631659,-3.721401158,-2.103878291,-4.043125768,-6.26582917,-6.717039054,-6.230183374,-6.184662979,-7.560151071,-4.873063431,-5.216703839,-3.98509549,-3.245841029,-4.423895012,-3.228353349,-3.047860942,-4.220137735,-3.418388782,-2.696855237,-2.207689135,0.367677586,2.358439762,3.199280162,1.055822667
Austria,AUT,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.971875321,3.269264079,3.789722731,4.466836232,2.564654823,2.92458811,1.574984667,1.500221258,1.947782799,2.392754582,1.736798923,2.721214306,1.354255156,0.962500316,2.392208689,3.427948069,1.621066462,-0.27394153
Azerbaijan,AZE,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.57406321,-29.31464938,-23.1113389,-30.6884366,-13.09038336,-3.181969042,-0.906770851,-12.32139496,-27.77266736,-29.82824856,1.263191173,17.67046734,27.28908754,33.67936389,22.97204431,28.42683135,25.99576656,21.49253577,16.49358767,13.5683574,-0.41919891,-3.600507334,4.12208961,12.68237692,8.704556202,-0.740874281,14.9620004,29.82439687
"Bahamas, The",BHS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,10.60582464,4.053295933,0.288322922,-3.763817884,-5.639182206,-9.80722047,-7.311664449,-5.805632502,-4.914016952,-0.116344212,0.930232558,-2.019159986,-2.359913411,-2.749836708,-1.156032849,-5.779194898,1.151495658,1.57373868,-1.294875729,-4.254884806,-7.295649764,-7.455356297,-14.56707087,-4.221801254,-7.836876754,-7.75394544,-4.766468667,-5.338277289,-3.391608662,-7.123050284,-13.80619145,-12.3851568,-11.61008929,-8.104420374,-8.063216637,-11.94727147,-14.03681206,-14.37089125,-17.17829219,-10.30733873,-6.048826647,-12.85058182,-8.81388554,-2.645599649,-23.41972177,-21.11442824,-13.67012456
Bahrain,BHR,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,5.999613309,12.3859192,11.67274587,2.748504707,5.590738855,1.063287452,-2.256687288,-5.935393283,5.186409022,-4.997590693,1.647384306,-13.05525148,-17.39811912,-6.525852998,-4.590618341,4.058185985,4.267952568,-0.489253689,-12.57181795,-0.557004154,9.160259011,2.517019631,-0.517337577,1.809903812,3.586105717,9.231809206,11.82100877,13.37586074,8.777936446,2.441233869,2.99484203,11.28465804,8.383851463,7.405532958,4.562310433,-2.422207009,-4.631054384,-4.51037401,-6.440331531,-2.055230787,-9.371783467,6.623776277,15.40796687
Bangladesh,BGD,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,-2.731151054,-2.911137428,-2.890478556,-2.672240645,-3.871078897,-5.020421855,-2.702615035,-0.260095326,-2.52446691,-2.043113255,-2.871224544,-0.975865069,-1.026511682,-3.820363565,-1.259273642,0.208651431,0.570158868,1.083211757,0.59098826,-2.171548899,-2.134908135,-0.593464718,-0.070353705,-0.710651969,-0.573042663,-0.991687232,1.350868305,0.218816448,-0.428022753,-0.250193221,1.66538338,1.076211925,1.01077433,3.470143878,1.82904182,-0.125812403,1.931299793,1.372402259,0.437162779,1.322349741,0.351156139,-2.037411084,-2.207726623,-0.839468886,0.319006332,-3.789754938,-3.122457581
Barbados,BRB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,-18.49363868,-11.48003339,-16.02722261,-9.586993814,-4.277086175,-6.283810571,-6.030047313,-11.85069448,-6.850362362,-7.091046076,-2.434515682,-0.374449432,2.609147258,-0.448860492,3.064232937,1.446055192,-0.354355356,-0.96404343,7.468930593,4.122178006,6.232814693,0.042241632,5.959620103,-3.208112366,-3.769186417,-4.481345184,-3.339934734,-3.641917358,-4.661060179,-5.863976991,-12.69373258,-12.97925215,-10.4890513,-7.43199029,-9.025888904,-8.53322014,-6.010681181,-3.728449163,-9.720671134,-5.388596812,-13.71319868,-2.08560312,-9.340538583,-5.93705921,-9.933280128840057,-16.619348170187564,-18.49363868,-18.49363868,-18.49363868
Belarus,BLR,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.649746193,-2.968144776,-3.280501306,-3.496004462,-6.080427446,-6.678118694,-1.595782839,-3.604521579,-4.28011087,-2.231601305,-2.55870194,-5.150472465,1.518035769,-3.754948243,-6.653677805,-8.16202153,-12.05468486,-14.46780439,-8.180545843,-2.835007621,-10.01925668,-6.63305918,-3.243474618,-3.377368528,-1.740328442,0.038146847,-1.934168023,-0.290687465,3.096297686,3.457093086
Belgium,BEL,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49803373,3.397239101,3.09695509,1.996553049,1.850289323,1.495692375,-0.831236475,1.816301664,1.524222954,-1.943127765,-0.083364751,0.973367523,0.754863634,1.376325725,0.555977165,0.699770951,-0.873036414,0.094664551,1.391911523,1.37040862,-0.909094884
Belize,BLZ,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,-2.472223069,4.255944655,5.158904611,3.34421319,-0.812263022,-5.160729069,2.812971144,-4.336311572,-4.123264453,-6.466504872,-5.204576824,-2.112269076,-0.783418847,-3.6664859,-6.459171245,-7.301797829,-14.23843371,-16.29660996,-13.33193459,-14.13910141,-11.11142803,-10.30014488,-1.60231434,-3.065534288,-8.365115801,-4.92655614,-2.629949069,-1.096795571,-1.74325155,-3.590254512,-6.39310085,-7.961671626,-7.295223354,-6.972139381,-6.576903042,-7.736144073,-6.246913609,-6.511176329,-8.284489464
Benin,BEN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,-5.277585812,-7.886282947,-9.280642393,-7.554593432,-9.725238532,-4.371138371,-2.542057148,-7.231391696,-29.75012015,-12.30594165,-5.429566593,-3.724989153,-3.955046303,-2.194675178,-6.510924102,-0.893468993,-0.925585932,-10.89308103,-4.289046874,-2.582996704,0.660280508,-7.69564347,-1.734574877,-6.78725035,-5.397399899,-4.232173893,-2.294987932,-2.045495325,-3.7415292,-6.205550509,-4.668788567,-3.443766425,-3.087787091,-6.546219388,-5.498622092,-6.690331811,-5.567234146,-4.833286272,-5.178326843,-5.37925542,-6.667906632,-5.964093171,-2.996694549,-4.180789637,-4.549195348,-3.999753088,-1.746485757,-4.15352071,-5.131541181770768
Bermuda,BMU,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38395182,17.97054081,12.99061744,8.734392681,10.4899592,13.74369147,14.53372062,13.00156808,12.74679187,14.16921418,12.26083039,13.16379871,12.30210205,11.29797266,12.39772623,13.50120383,13.806092512117795
