Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.55490875,92.06328201,92.01921463,90.48847961,91.95277405,91.84470367,92.89063644,91.71271133,92.51360321,92.16716766,91.53177261,90.74579239,91.23573303,91.39752579,93.24069214,92.84658813,92.33827209,92.74773788,93.09402847,91.6729126,92.95205688,91.93379974,91.8584400001131,91.78314203392002
Low income,LIC,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.39109802,87.47940063,86.70014572,88.16159058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower middle income,LMC,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61329651,92.30058098,92.98786545,93.67514992,94.36243439,94.63175964,94.63175964,94.63175964,94.63175964,94.63175964,94.63175964
World,WLD,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.68141937,82.62509155,84.92228699,81.14800262,80.69690704,80.40733337,80.17840412844419,79.95012667566736,79.72249915594935,79.49551971885344,79.26918651921133,79.04349771710811,78.81845147786736
Albania,ALB,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41316223,91.67929077,91.94541931,91.63761139,91.70053864,93.8843689,86.84481812,88.59079742,87.99329306310142,87.39981859945257
Algeria,DZA,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76538849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63365173,95.625801085,97.61795044,97.96737671,98.31680298,98.82409668,99.120880125,99.41766357,98.90917969,98.66561127,99.18147278,99.2702179,99.4593811,99.24268341,99.06735483666668,98.89202626333334,98.71669769
Angola,AGO,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.65036774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.14909363,95.96262359857144,95.77615356714286,95.58968353571429,95.40321350428572,95.21674347285716,95.03027344142858,94.84380341,94.65842535530807,94.47340963344047,94.28875553619541,94.10446235675529,93.920529389684,93.73695593092434,93.55374127779511,93.37088472898866,93.18838558456801,93.00624314596428,92.824456715974,92.6430255987564,92.46194909983078
