Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,13.13840195,13.30062991,13.59480977,15.20555381,18.16648086,17.53472099,17.84657631,17.89761583,17.68201447,19.02803037,20.53685721,20.37121922,19.17692611,18.1694475,18.44386879,17.94094005,17.06757361,17.40479993,17.78307508,18.37694977,18.98418713,18.83235593,18.9162577,18.5092352,19.24889801,20.56175748,21.17278829,22.15854122,22.008559,21.6352404,23.06666045,22.52615275,22.48458079,23.09873388,24.84913431,26.08059515,27.94456827,29.37540401,30.87629026,26.66860687,29.46537064,31.98272557,32.0659049,32.59351535,32.63902661,30.98248641,30.08263191,31.37599654,32.14442252,31.32993006,28.92177833,31.77774037,34.2882741
Low income,LIC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00250308,31.21743514,30.53032618,29.93506126,29.0528211,30.79527268,33.44768074,34.38072211,36.30199352,31.4582609,38.15857293,39.20392662,38.04798178,37.91367762,38.36441549,29.36223605,33.0724441,24.56241194,19.66745004,19.74815277,20.22152052,16.23921989,14.59320164,16.70606441,19.56942391,18.44122017,17.75848419,20.71865365,21.77986791
Lower middle income,LMC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,16.11216666,16.92889769,17.08111647,17.09665253,15.34143733,12.29838494,14.41661439,14.94575565,16.80608363,17.43093861,19.01758725,19.13022526,19.5696582,20.14950645,20.28562663,19.50238736,19.5031714,18.00688532,21.36831233,23.0545733,22.45939435,23.34469741,24.08775255,26.4136731,28.3682148,28.91967709,28.5281685,30.33739183,25.59700859,26.75991706,28.43036071,27.37849645,27.19027113,25.47270991,22.87281259,22.45456819,23.81398228,25.54874415,24.40770953,22.9942544,25.56453409,27.81340678
Upper middle income,UMC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.275646112,9.603495676,9.989228882,9.828806817,9.344432428,8.900876434,8.636940405,8.671068567,9.051831713,8.752377663,8.501512652,8.938909697,9.503757525,10.84758395,13.45667175,11.87077691,13.16962817,13.73751112,13.60396009,15.24230177,16.55591767,14.23771526,15.02351593,15.53040134,16.0408853,16.45741267,15.88403306,17.72993618,18.34107626,19.03116111,17.68585668,17.32096774,25.93274093,19.95850609,20.22588995,21.17834302,20.86130342,21.5495724,21.74771106,23.81235499,26.12648859,25.41142111,27.27571341,29.02321793,31.08887357,31.80017515,32.54498382,31.6888002,31.3938494,25.87125618,27.05058737,27.31035041,26.91432211,25.93341279,25.33355455,23.99242807,22.67087263,23.04877305,23.8779151,23.07843893,22.17787201,24.46074443,25.72018156
World,WLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,12.74620976,12.96642603,13.31044969,14.98280052,18.10871859,17.25795761,17.68034648,17.71339813,17.37569457,18.80145225,20.08764201,19.45782678,18.55189011,17.77126188,18.08397364,17.60272677,16.68733413,17.28844607,17.73013992,18.43639627,18.826591,18.71051349,19.76553164,18.78087753,19.49305281,20.69687939,21.14437139,22.02498114,21.84119269,21.94748742,23.55150732,22.97000927,23.23156067,23.97930612,25.86691445,27.15372285,28.82851835,29.77773111,30.95610303,26.36533166,28.68540192,30.47662086,30.25245666,30.25563299,29.92590288,28.31330142,27.35170357,28.30401361,29.18511426,28.32104249,26.44824446,29.03040439,31.06781023
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,10.831728062380952,10.821705844761905,10.811683627142855,10.80166140952381,10.791639191904762,10.781616974285711,10.771594756666666,10.761572539047618,10.75155032142857,10.741528103809523,10.731505886190476,10.721483668571429,10.71146145095238,10.701439233333334,10.691417015714286,10.681394798095235,10.67137258047619,10.661350362857142,10.651328145238097,10.641305927619047,10.63128371,10.621261492380953,10.611239274761903,10.601217057142858,10.59119483952381,10.581172621904765,10.571150404285714,10.561128186666666,10.55110596904762,10.541083751428571,10.531061533809524,10.521039316190476,10.511017098571427,10.500994880952382,10.490972663333334,10.480950445714289,10.470928228095238,10.46090601047619,10.450883792857145,10.440861575238095,10.430839357619048,10.42081714,14.3421528,14.76323124
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62033323,10.19712728,11.46716626,16.84176296,20.11528555,21.33341083,20.94561617,20.84738645,22.21756076,23.01299115,25.20960773,28.24786542,25.30241812,25.24074861,27.97943524,29.24153714,28.93748776,28.91631514,28.21300146,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989,22.65778961,31.30916076,37.39542221
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.0431726,46.24455689,19.79387268,24.68468205,25.08405873,22.60394356,25.98619752,23.43441677,23.1356346,23.78877682,22.0727334,18.44251915,20.44956198,25.503663,38.74904361,33.68893622,33.05458393,30.58656693,25.53583672,31.14830021,34.33846147,34.58725077,30.92485632,27.94180611,25.71001618,23.58393289,12.85475734,14.27247473,15.50786788,18.63926334,23.44368508,29.11782217,25.31959428,21.783877,22.53072525,26.19477598,29.76044833,30.90631138,22.57835401,28.15011312,42.06971772,36.68930544,35.50453671,38.24882942,40.0532239,47.20519509,48.81068655,47.06816484,47.973343,35.37165186,38.44454735,38.78811864,36.89054781,33.20989789,30.48765721,23.17177801,20.87248521,22.63223229,25.86118126,22.71441254,17.4699219,26.73454321,35.3352258
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.171875,97.90076336,90.37328094,99.6,100.4056795,97.49034749,114.4642857,78.51851852,63.52530541,58.77192982,75.46875,71.78683386,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667,46.95752009
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
