Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.49319667,68.87556554,69.2015864,70.00924868,70.41023184,70.82880587,71.4242952,71.65926331,72.23806022,72.671971,73.0340222,73.32426566,73.7684806,74.10432704,74.50535564,74.83338635,75.02244877,75.4054773,76.03910712,76.26225397,76.48074579,76.67100244,76.92590812,77.28650639,77.37511855,77.70126998,78.09047088,78.41976201,78.92775206,79.09641073,79.66706954,80.04049399
Low income,LIC,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.07182319,78.07223214,77.94019783,78.05904904,78.44805414,78.43368272,78.41187826,78.38279825,78.47101355,78.60682007,78.66132167,78.6503036,78.6333575,78.63957864,78.62547388,78.21850243,77.99808214,77.80147074,77.63785365,77.49236494,77.39838085,77.48092671,77.76038434,78.06007158,78.60223572,78.72298164,78.86538228,78.89115923,78.94168684,78.82142842,79.16433704,78.57044079
Lower middle income,LMC,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84641868,48.91370744,49.0817962,49.32071098,49.23505658,49.28136618,49.28647768,49.47501601,49.55543958,49.57335989,49.81341714,49.9713725,50.23132291,50.42975885,50.85093812,50.74247633,50.59325438,50.25476031,50.15694884,49.93297896,49.61281705,49.32657455,49.4943506,49.63977673,49.74034908,49.80679794,49.84022784,49.70956371,49.77734523,49.51195615,50.14563474,49.94998059
Upper middle income,UMC,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.42040416,76.4476659,76.30162983,76.42542094,76.55880371,76.60770211,76.63339118,76.76245183,76.87917782,76.91390955,76.68210465,76.56973617,76.4761752,76.24941969,76.17981146,76.01648951,76.14009382,75.86351433,75.76933059,75.42440063,75.48852771,75.59369894,75.58336663,75.59638729,75.82998265,76.08422979,76.41244877,76.70513976,77.09490042,76.61854802,77.43220351,77.13115893
World,WLD,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07452457,67.14639711,67.12685871,67.37524216,67.45274858,67.49507247,67.55901132,67.64671785,67.76944888,67.80981765,67.81137668,67.83475242,67.91766714,67.91535846,68.07531138,67.95701432,67.93641149,67.71895554,67.67891558,67.40076015,67.34398652,67.32059779,67.36679138,67.45892169,67.59045962,67.74778979,67.92958997,68.03709786,68.28279513,67.94303133,68.57275628,68.37723057
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.67730974,19.77028286,19.81764988,19.86759987,20.0048125,19.80140335,19.59987338,19.44388194,19.33810693,19.25406923,19.43368032,19.67508339,19.93218359,20.17647582,20.4069945,20.15496972,19.90236337,19.70366982,19.61247998,19.65977386,20.15516757,20.77898737,22.2178958,23.74906451,25.37573253,27.1029295,28.93696494,27.83257798,26.58172994,24.68623011,21.84098194,7.345373683
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.81922636,71.05719008,70.72255532,70.4488224,70.07392858,69.83943534,70.11724063,69.8835343,69.59684585,69.45457594,69.30303969,69.23207491,69.87624335,70.59223761,71.39005438,72.2705254,73.24019944,74.3047376,71.29838421,73.25349927,77.71655409,74.81686946,71.26069074,69.4344526,73.32865169,76.66106943,74.51931743,76.11951375,77.83050148,77.42449068,78.77460375,78.03435818
Algeria,DZA,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.44052817,14.56938867,14.64243845,14.76392738,15.00097157,15.25997613,15.58058812,15.91068336,16.25183407,16.60295582,16.96483149,17.33872626,17.72440999,18.12159329,18.53299836,18.95713654,19.39557117,19.84902697,20.31683983,20.56285288,21.89594967,23.30398373,23.88561817,22.50441024,24.38947178,25.47965534,25.26333313,25.04537205,24.85650414,24.66609151,25.43469277,24.59963877
American Samoa,ASM,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
