Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.0,1245810056.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722905028.0,1873452514.0,1896456983.0,1961843575.0,2044111732.0,2254830726.0,2360017318.0,2469782682.0,2677641341.0,2843024581.0,2553793296.0,2453597207.0,2637859218.0,2615208380.0,2727849721.0,2790849721.0,2962907263.0,2983635196.0,3092429050.0,3276184358.0,3395798883.0,2558906304.0,3103184102.0,3544707788.0,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,3495307599.333333,3511827289.6666665,3528346980.0,3544866670.333333,3561386360.6666665,3577906051.0,3594425741.333333,3610945431.6666665,3627465122.0,3643984812.3333335,3660504502.6666665,3677024193.0,3693543883.3333335,3710063573.6666665,3726583264.0,3743102954.3333335,3759622644.6666665,3776142335.0,3792662025.3333335,3809181715.6666665,3825701406.0,4520946849.0,5224896719.0,6203256497.0,6971758333.0,9747886105.0,10109296958.0,12416152648.0,15856668496.0,17805098367.0,19907329906.0,20146416876.0,20497128600.0,19134221745.0,18116572399.0,18753456507.0,18053222735.0,18799444415.0,19955929061.0,14266499430.0,13740258625.265556,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073604.0,5553824464.0,5553824464.0,5787823809.0,6135166254.0,7558613008.0,7076793823.0,8089279285.0,8775116269.0,10207922517.0,11236275843.0,10401188707.0,8307826847.0,6084688936.0,4438321017.0,5538749260.0,6535434716.0,7675412601.0,6506381417.0,6152922942.0,9129594816.0,8936079251.0,15285592486.0,17812704627.0,23552057820.0,36970901024.0,52381025102.0,65266415707.0,88538664884.0,70307196474.0,83799473760.0,111790000000.0,128053000000.0,132339000000.0,135967000000.0,90496420626.0,52761617226.0,73690155047.0,79450688232.0,70897962713.0,48501561230.0,66505129989.0,106783000000.0,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857337995.0,1897050117.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880950864.0,2392764853.0,3199640815.0,2258513974.0,2545964541.0,3212121651.0,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077248.0,8896075005.0,10677324853.0,12881352894.0,12044205550.0,11926926616.0,12890760315.0,12319834195.0,12776224497.0,13228147516.0,11386853113.0,11861199831.0,13019726212.0,15156424015.0,15401826127.0,15162734205.0,17930565119.0,18916378861.0,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082.0,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582.0,1028989692.0,1106891362.0,1209992020.0,1007090270.0,1017544069.0,1178745283.0,1224024139.0,1180645572.0,1211953994.0,1239840640.0,1429047882.0,1546912332.0,1755989354.0,2361636235.0,2895047587.0,3159826892.0,3456264325.0,3952395030.0,4085780203.0,3674190066.0,3449925694.0,3629133063.0,3188653259.0,3193513470.0,3271686452.0,2789882569.0,2896611879.0,3000160415.0,3218418632.0,3155150256.0,2891002460.0,3325143693.0,3352031094.0,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720728249.0,19213158779.0,24871775165.0,23775764225.0,31225659621.0,43599160050.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,300189000000.0,360833000000.0,384610000000.0,400219000000.0,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,349473000000.0,415179000000.0,507064000000.0,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,109490000000.0,112989000000.0,88416666667.0,106214000000.0,109029000000.0,126928000000.0,76629657864.0,141353000000.0,189720000000.0,228779000000.0,236742000000.0,257440000000.0,258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530158000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557532000000.0,643628000000.0,524820000000.0,447755000000.0,385741000000.0,487903000000.0,631133000000.0,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449.0,2069870130.0,1272835453.0,1201312829.0,1315158637.0,1468317435.0,1596968946.0,1639492445.0,1893726437.0,1845482173.0,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469511.0,6384452067.0,9206301270.0,11662040714.0,8647937081.0,9260285756.0,10142111825.0,10619320683.0,11121464437.0,11609513247.0,10553337518.0,10546136236.0,11527458709.0,12457940695.0,13619290539.0,12641698583.0,13878908629.0,19513474648.0,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093.0,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000.0,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1281337037.0,1327107407.0,1325425926.0,1378829630.0,1437755556.0,1489692593.0,1531151852.0,1661529630.0,1725351852.0,1410796296.0,1601366667.0,1867733333.0,
