Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,22.66955286,23.2720373,23.33457031,23.91115076,24.03640961,23.04970363,22.84996401,21.52676167,20.76835088,22.08193954,21.22877537,20.73777197,21.21454571,22.22322908,21.87460047,21.15849996,19.44046646,19.63295567,19.28750354,20.09789873,21.18533345,22.79830162,23.53968065,23.69189926,23.31798653,23.65599927,22.78341602,22.01000272,21.76378847,22.46859354,22.91932495,23.70833644,23.22156464,21.68156668,19.66289015,20.89773331,21.7329894,22.2271943,22.28225473,22.85301642,22.91923981,22.52858317,23.19849167,23.39495144,23.60817614,22.7070213,23.84472605,23.67668832
Low income,LIC,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75755312,5.556976743,4.953217822,7.338799467,3.173517169,4.479932212,16.83891997,15.16703387,15.99450118,14.07862173,15.19781788,16.83891997
Lower middle income,LMC,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,18.60685382,17.2605797,18.29460942,17.42864563,19.29638518,19.14620392,19.60283594,18.60332699,18.21395653,17.32284437,18.72040881,19.12632405,20.00601092,21.724605,22.3598172,22.63759551,24.06903859,25.0648982,24.94552277,24.87280652,24.79099068,24.47490843,25.72216452,25.84879893,25.05800378,26.08700413,27.26337481,29.59750081,30.88150268,32.38567338,32.53874725,31.96200818,30.14141804,31.39475122,30.42378301,29.85850474,29.16793764,28.70176866,27.69653242,27.39954586,27.66599862,27.86844032,27.16095188,25.84334806,25.44713601,26.58249875
Upper middle income,UMC,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,28.39246331,28.21712367,29.44503032,30.79169333,29.75246296,31.27133833,32.54709529,31.87310901,29.96715307,30.67727091,31.93459151,33.10123868,32.80183648,30.91648186,30.46482716,30.47795514,29.56663717,28.59750236,29.47481236,29.85522248,30.74247548,32.50386741,34.62503241,35.05641491,36.94006864,37.9787899,38.81108875,36.3908846,37.67627338,37.05652022,36.31852208,35.16263156,35.1108337,33.8128154,33.08309396,33.73488934,33.89186803,33.13725966,33.10773228,35.33973557,35.47939623
World,WLD,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,23.36549851,22.83602458,24.05951237,23.84511971,23.20689975,24.07533079,25.03570832,24.65221106,23.77599672,22.92535108,23.42840301,23.62088006,24.36804343,24.38527345,25.1144134,25.60124294,25.39020295,24.95778051,25.4579975,24.93956436,24.73787735,25.14258963,26.36630003,26.82626332,27.94394291,27.92438427,27.11100827,24.94355459,26.22528499,26.52464176,26.56988405,26.21558197,26.51525475,26.18158816,25.70737398,26.39766572,26.57900842,26.46697153,25.78187932,27.13678452,27.12815537
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.737769443,-2.737769443,-2.737769443
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000044,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.109843221,16.35751101,16.13250852,5.572394393,17.33743597,14.89957935,25.89134918,28.92521879,25.51671658,26.25826888,29.38483682,30.10649462,29.0689429,23.95429313,17.73092403,17.33589683,19.96761667,20.54545899,19.62510087,17.741292,15.92938749,16.86397944,17.04907325,16.52937175,16.54715996,14.39660845,13.4131245,17.15063089,18.42036968
Algeria,DZA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,31.52025583,33.98083715,36.66209983,39.37476941,36.8866273,35.53709011,36.52502863,30.61771284,29.39890661,21.779972,21.34692708,16.97597335,17.49185001,23.97768812,32.25932247,33.65914702571429,35.05897158142857,36.458796137142855,37.85862069285714,39.25844524857144,40.65826980428572,42.05809436,43.45791891571429,44.85774347142858,46.25756802714286,47.65739258285714,49.05721713857143,50.45704169428572,51.85686625,54.57169891,56.94187187,57.41378834,47.20559669,49.82915331,48.52707263,47.77901241,45.55649526,43.29927206,36.48792209,37.38332451,38.72606877,40.15010931,37.6144462,32.95375826,37.62036395,43.87526577
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
