Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.966442473,,,,,,,,,,1.72278457,,,,,,,,,,,,,,,,,,,,1.010276179,,,,,,,,,,,,,,,,0.910850872,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.78605725,,,,,,,,,,0.974040006,,,,,0.843428613,,,,,,,,,,,,,,,1.470243291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.922230812,,,,,,,,,,1.900653602,,,,,1.571697223,,,,,,1.68851455,,,,,,,,,1.784669326,,,,,,,,,,1.606045142,1.503581543,1.583476055,1.579065349,1.612400589,1.628538492,1.657444639,1.625528649,1.647461961,1.544162988,1.552759552,,,,1.597108136,1.483995308,1.47473109,1.376802345,,,,,
Caribbean small states,CSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.045438889,,,,,,,,,,5.005157975,,,,,4.990301185,,,,,,,,,,,,,,,3.638296222,,,2.838957125,,3.102750359,3.498073826,,,,,2.521315591,,2.557417195,,2.451419613,2.563909235,2.198745082,,2.308038749,2.313915849,,2.308005648,2.257637506,,2.488696326,2.298107373,2.409718601,,,,,
Central Europe and the Baltics,CEB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,8.030245211,,,,,8.20049509,,,,,8.119840504,8.038828765,7.672285757,7.642886058,7.630671597,7.2386887,7.268246557,7.023065449,6.797328839,6.616530679,6.696352285,,6.737823247,6.887874263,6.827509901,6.774348966,6.733956696,6.603310899,6.664636914,6.65480915,6.569159914,6.542458718,6.574336638,6.556354548,6.582222727,6.57965017,6.583020918,6.593183615,6.422667075,,,,
Early-demographic dividend,EAR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.922645742,,,,,,,,,,0.961680872,,,,,0.886896126,,,,,1.034881606,,,,,1.103962042,,,,,,1.088436736,,,,,,,,,1.058403806,0.916364405,0.93894627,1.188747166,,0.934590606,0.942885531,0.949255819,0.86678077,0.83911125,0.9558485,1.139631892,0.909432536,0.929802351,0.950355385,0.919855086,0.872490117,0.921780701,,,,,
East Asia & Pacific,EAS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,2.5504341,,,,,1.91577664,2.127802085,,,,3.326160148,2.438242477,2.382481093,2.411467444,2.454654429,3.284893471,2.396632659,,,2.485774855,2.340850987,2.420903105,2.428704605,3.43677973,3.527034453,3.801755456,3.803715435,3.708287816,3.389257272,3.700201656,2.821127817,2.7536653,2.564988921,2.946150374,2.969357235,2.9433544,2.90238642,3.041554741,3.164292031,2.953825754,3.142580372,3.213605888,3.498160978,3.683731863,3.852705177,4.185696068,4.262989904,4.515422238,,,,,
East Asia & Pacific (excluding high income),EAP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,1.440000057,1.519999981,1.5,1.450000048,1.450000048,1.43947102,1.580000043,1.710000038,1.769999981,1.850000024,1.779758643,1.987031229,2.069999933,2.140000105,2.200000048,2.222455766,2.294086215,2.233727126,2.262067694,2.308155503,2.119421928,2.365731561,2.479969412,2.536711869,2.354362742,2.278195569,2.272114468,2.277519625,2.291488534,2.348484959,2.572221826,2.540977392,2.498755906,2.253298261,2.504849868,1.708079776,1.658098783,1.644768816,1.7305299,1.841703111,1.876578296,1.870061116,1.934471578,2.107605081,2.035417747,2.295963646,2.279490762,2.659571574,2.817200531,2.992028256,3.300739707,3.412075084,3.679494106,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,1.440000057,1.519999981,1.5,1.450000048,1.450000048,1.43947102,1.580000043,1.710000038,1.769999981,1.850000024,1.779758643,1.987031229,2.069999933,2.140000105,2.200000048,2.222455766,2.294086215,2.233727126,2.262067694,2.308155503,2.119421928,2.365731561,2.479969412,2.536711869,2.354362742,2.278195569,2.272114468,2.277519625,2.291488534,2.348484959,2.572221826,2.540977392,2.498755906,2.253298261,2.504849868,1.708079776,1.658098783,1.491438725,1.7305299,1.841715397,1.876578296,1.870061116,1.93448276,2.107605081,2.035417747,2.138814856,2.279490762,2.520146305,2.817200531,2.992028256,3.300739707,3.412075084,3.679494106,,,,,
Euro area,EMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,9.651597471,,,,,,,,,,9.941721403,,,,,9.074820055,,,,,8.24033713,8.03061532,7.907712568,7.749242877,7.648648691,7.517102583,7.502348759,7.234914918,7.073518845,6.879523268,6.654682194,6.538662158,6.415020464,6.266417322,6.139185758,6.051988524,5.94913292,5.888061598,5.797088582,5.679298448,5.576289986,5.528882684,5.477662965,5.398277751,5.432799079,5.3037504,5.253907326,5.203758221,4.277508936,,,,
Europe & Central Asia,ECS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,9.148496233,,,,,9.586293304,9.670883357,9.653123694,9.621713733,9.56269944,9.159717408,9.022345265,8.692870286,8.516420965,8.319818286,8.12405396,7.898554823,7.538128196,7.292636718,7.088173205,7.007940702,7.000880821,6.857777648,6.781837572,6.703493382,6.611691587,6.522570594,6.410943847,6.232249982,6.16481516,6.020635509,5.943396293,5.90103438,5.781001513,5.67736679,5.466248448,5.409970683,5.363582179,4.71606622,,,,
Europe & Central Asia (excluding high income),ECA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.75721543,10.81113214,10.84455857,10.87920169,10.89691169,10.87637744,10.6112255,10.42165683,10.22794624,9.914722519,9.679157176,9.239410159,8.682917469,8.339970846,8.103523347,8.112312344,8.009868639,7.942520872,7.856750999,7.812896217,7.705020622,7.635967271,7.503919057,7.176193952,7.130491641,6.952621464,6.832856471,6.749973519,6.600764741,6.33687748,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.14437777,10.65099048,10.68336069,10.71614792,10.73235295,10.25568593,10.02613619,9.792753388,9.629558714,9.354479668,9.142772644,8.773397278,8.283579066,7.981793654,7.76269018,7.781978397,7.972199275,7.695370904,7.672457997,7.633491885,7.533041828,7.469989818,7.344311161,7.083141232,7.04915598,6.88058123,6.781941979,6.724645042,6.59758692,6.374512106,6.370840184,,,,,,,
European Union,EUU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,9.519846724,,,,,8.877785021,,,,,8.196290855,8.007969742,7.747095558,7.609358608,7.542823779,7.309878486,7.290307407,7.062117303,6.860303997,6.669299023,6.532297283,6.576240852,6.372444591,6.300479235,6.193783781,6.115586392,6.026994221,5.946030175,5.889601902,5.801668006,5.707752351,5.661131405,5.661108643,5.564824916,5.597029991,5.488165282,5.449439147,5.409753531,4.594189751,,,,
Fragile and conflict affected situations,FCS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.229815501,,,,,,,,,,1.21050402,,,,,,,,,,2.989575548,,,,,,,,,,2.636242844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.521032361,,,,,,,,,,1.427213869,,,,,1.521455134,,,,,,,,,,,,,,,1.004122172,,,,,,,,,,,,,,,,0.747425658,,,,,,,,,,,,,,,,
High income,HIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.881454567,,,,,,,,,,9.083334502,,,,,,,,,,8.407786691,,,,,8.18922862,,,,,6.355266627,6.538878436,6.205355264,7.221215114,7.268518799,7.08112477,6.853567221,6.722054603,6.690078826,6.561840333,6.132348422,6.155106379,5.984540794,5.899509566,5.843498549,5.738125674,5.681697435,5.661592195,5.586693405,5.515777831,5.438170586,5.393012534,5.3957761,5.34139491,5.376357504,5.264688391,5.237274663,5.280970894,,,,,
IBRD only,IBD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.531739687,,,,,1.60715576,,,,,2.273161566,2.219532312,,,,2.867997422,,3.066006146,,,3.493863547,2.801535125,,,,,,,,,2.183385018,2.057883915,1.984804448,2.156664494,,2.075813693,2.041708799,2.012500873,2.051240073,2.010004415,2.082167367,2.162455329,2.236393755,2.338573963,2.351235763,2.345755968,2.385449038,2.489862873,,,,,
IDA & IBRD total,IBT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.435066218,,,,,1.545806402,,,,,2.09818759,,,,,2.816368938,,,,,2.997047109,2.680329016,,,,,,,,,2.074423765,1.932028181,1.860698332,2.086307214,,1.904105423,1.946763642,1.948518969,1.93370983,1.926588783,1.953299172,2.083096083,2.126225132,2.222804942,2.200055141,2.113799822,2.154240255,2.32717705,,,,,
IDA blend,IDB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.789551891,,,,,,,,,,0.926309438,,,,,0.879476178,,,,,1.644238097,,,,,,,,,,2.077273108,,,,,,,,,,1.269092911,,,,1.007204471,,,,,,,,,,,,,,,,,,
IDA only,IDX,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.351397528,,,,,,,,,,1.075804147,,,,,,,,,,,,,,,,,,,,1.036100538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.159115297,,,,,,,,,,1.030292238,,,,,,,,,,1.208950026,,,,,,,,,,1.407987365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.959207656,,,,,2.241007958,,,,,2.812063767,2.68940587,,,,4.028523261,4.071123396,4.059296492,4.175169551,4.012039552,3.884109463,4.047720358,3.971294836,3.928661278,3.913871106,3.828742338,3.669658078,3.598719075,3.6951605,3.559295777,2.869907603,2.79144402,2.910596663,2.814616698,2.908721521,2.863799923,2.893095743,2.923922863,3.009079094,3.084656129,3.205885556,3.248759018,3.525209264,3.614496869,3.7501252,3.861558593,3.995538462,4.186991897,,,,,
Latin America & Caribbean,LCN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.428079196,,,,,,,,,,3.470172874,,,,,,,,,,,,,,,,,,,,2.498486613,,,2.57214175,,,2.272527102,,,,,,,1.828713892,,2.194701217,1.905482489,1.762038404,1.879596462,1.845362662,2.025876952,1.923675519,1.973377925,1.998267234,1.916875039,1.887719846,1.915643272,1.900128243,,,,,
Latin America & Caribbean (excluding high income),LAC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.353410395,,,,,,,,,,3.403419393,,,,,,,,,,,,,,,,,,,,2.439736257,,,2.53364931,,,2.256293962,,,,2.364984718,,1.928516331,1.84996509,,2.181930234,1.866780176,1.754363827,1.852967835,1.866866287,2.025078277,1.959110962,1.95592085,1.982073608,1.962857451,1.931777697,1.958101314,1.942103103,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.381486477,,,,,,,,,,3.412439626,,,,,,,,,,,,,,,,,,,,2.420397246,,,2.488889524,,,2.190561783,,,,2.384626347,,,1.746811625,,2.116228928,1.816513035,1.69112102,1.767054231,1.742453504,1.93909525,1.859770921,1.906158319,1.931474358,1.851575843,1.821157484,1.847646943,1.8302661,,,,,
Least developed countries: UN classification,LDC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.27774808,,,,,,,,,,0.990192257,,,,,,,,,,,,,,,,,,,,0.733772959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.377068478,,,,,1.544343248,,,,,1.990356263,,,,,2.713959758,,,,,2.923647694,2.592707909,,,,,,,,,2.004863366,1.897808112,1.853709824,2.021737339,,1.840796396,1.883011838,1.889400312,1.873943417,1.8742102,1.967043931,2.038003923,2.132208465,2.169827619,2.15882551,2.070733461,2.111429171,2.286864264,,,,,
Low income,LIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.440543097,,,,,,,,,,1.262232218,,,,,1.342839749,,,,,,,,,,,,,,,0.869514197,,,,,,,,,,,,,,,,0.704178724,,,,,,,,,,,,,,,,
Lower middle income,LMC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.791824407,,,,,,,,,,0.885487282,,,,,0.848257521,,,,,1.58418311,1.533254944,,,,1.632252111,,,,,,1.529950026,,,,,,,,,1.241390329,1.14741857,1.097514248,,,0.978851705,1.166858604,0.993294267,1.022379296,1.053380368,1.09860682,1.005830962,1.013969936,1.002749804,0.970387548,0.754264708,0.680616249,,,,,,
Middle East & North Africa,MEA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.940870341,,,,,,,,,,1.890555848,,,,,,,,,,,1.867693662,,,,,,,,,1.883763427,,,,,,,,,,1.765614627,1.701529703,1.76585105,1.763642505,1.776849238,1.786220202,1.813449151,1.774720854,1.718488268,1.625123815,1.707061339,1.624614284,1.554354279,1.556243757,1.637634864,1.610461563,1.578177326,1.53409613,,,,,
Middle East & North Africa (excluding high income),MNA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.850931655,,,,,,,,,,1.898403496,,,,,,,,,,1.75024815,1.748799694,,,,,,,,,1.742874846,,,,,,,,,,1.640245192,1.616759433,1.647629382,1.64364569,1.67206129,1.672625432,1.711168033,1.674968364,1.612710065,1.516716422,1.611779398,,,,1.495840003,1.533117723,1.477597152,1.423131884,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.850931655,,,,,,,,,,1.898403496,,,,,,,,,,1.75024815,1.748799694,,,,,,,,,1.742874846,,,,,,,,,,1.640245192,1.616759433,1.647629382,1.64364569,1.67206129,1.672625432,1.711168033,1.674968364,1.612710065,1.516716422,1.611779398,,,,1.495840003,1.533117723,1.477597152,1.423131884,,,,,
Middle income,MIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.384950076,,,,,1.556457734,,,,,2.030182551,2.006236631,,,,2.714303672,,,,,3.065473906,2.609496734,,,,,,,,,2.035824635,1.926527436,1.821592128,2.05734646,,1.905215768,1.982648135,1.926900194,1.94107081,1.913352583,1.96555622,1.994350749,2.103274696,2.208728673,2.188479004,2.157514579,2.180792772,2.345080451,,,,,
North America,NAC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.929438969,,,,,8.800000191,,,,,7.815222548,7.5,7.400000095,7.199999809,7.099999905,6.800000191,6.629131952,6.448625632,6.268036196,6.167966376,6.077907708,5.997606426,5.988033304,5.897880275,5.807743935,5.627365699,5.527446049,5.33777554,5.238259129,5.12937018,5.009840327,4.899770946,4.689629463,4.589452369,4.300000191,4.189221283,3.969789279,3.859305208,3.749271706,3.629473643,3.517463818,3.491597524,3.414577999,3.346719353,3.277704048,3.1901624,3.164253299,3.122281754,3.102404212,3.052338194,3.02325819,2.953124311,2.916058221,2.873015171,2.813975102,2.781970348,2.752909428,2.835644176,,,,,
Not classified,INX,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.570157324,,,,,,,,,,8.670518401,,,,,,,,,,7.556455853,,,,,7.987414494,,,,,5.564884051,5.801668581,5.530266431,6.403131742,6.539089412,6.318487645,6.009353764,6.077312455,5.96178674,5.851746192,5.540190637,5.48136642,5.438495967,5.241962314,5.179311227,5.245880675,5.050439897,5.035158664,5.116771779,5.053859044,4.884835333,4.84621689,4.833071975,4.796770299,4.785865411,4.72847182,4.708398451,4.727050028,5.056544942,,,,
Other small states,OSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
