Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.881454567,8.901642560500001,8.921830554,8.9420185475,8.962206541,8.9823945345,9.002582528,9.0227705215,9.042958515,9.0631465085,9.083334502,9.0157797209,8.9482249398,8.8806701587,8.813115377599999,8.745560596499999,8.6780058154,8.6104510343,8.5428962532,8.4753414721,8.407786691,8.3640750768,8.3203634626,8.2766518484,8.232940234199999,8.18922862,7.822436221399999,7.4556438228,7.0888514242,6.7220590256,6.355266627,6.538878436,6.205355264,7.221215114,7.268518799,7.08112477,6.853567221,6.722054603,6.690078826,6.561840333,6.132348422,6.155106379,5.984540794,5.899509566,5.843498549,5.738125674,5.681697435,5.661592195,5.586693405,5.515777831,5.438170586,5.393012534,5.3957761,5.34139491,5.376357504,5.264688391,5.237274663,5.280970894,5.2586143639105,5.236352478242957,5.214184836328461,5.192111039194294,5.170130689556758
Low income,LIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.440543097,1.4227120091,1.4048809212,1.3870498333,1.3692187454,1.3513876575,1.3335565696,1.3157254817,1.2978943938,1.2800633059000002,1.262232218,1.2783537242,1.2944752304,1.3105967366,1.3267182428,1.342839749,1.3112847122,1.2797296753999998,1.2481746386,1.2166196018,1.185064565,1.1535095282,1.1219544914,1.0903994546,1.0588444178,1.027289381,0.9957343442,0.9641793074,0.9326242706,0.9010692338,0.869514197,0.8591807299374999,0.848847262875,0.8385137958125,0.82818032875,0.8178468616875,0.807513394625,0.7971799275625,0.7868464605000001,0.7765129934375,0.766179526375,0.7558460593125,0.74551259225,0.7351791251875001,0.724845658125,0.7145121910625001,0.704178724,0.6942770762084012,0.6845146581686358,0.6748895121334475,0.6653997078839947,0.656043342342766,0.6468185391919378,0.6377234484971,0.6287562463362717,0.6199151344341326,0.611198339801399,0.6026041143792696,0.5941307346888718,0.5857765014856359,0.5775397394185307,0.5694187966940896,0.561412044745161
Lower middle income,LMC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.791824407,0.8011906945,0.810556982,0.8199232695,0.8292895570000001,0.8386558445000001,0.848022132,0.8573884195,0.866754707,0.8761209945,0.885487282,0.8780413298,0.8705953776,0.8631494254,0.8557034732,0.848257521,0.9954426388,1.1426277566,1.2898128744,1.4369979921999998,1.58418311,1.533254944,1.55800423575,1.5827535275,1.60750281925,1.632252111,1.6152017635,1.598151416,1.5811010685,1.564050721,1.5470003735,1.529950026,1.4978878374444444,1.465825648888889,1.4337634603333334,1.4017012717777777,1.3696390832222225,1.3375768946666666,1.305514706111111,1.2734525175555556,1.241390329,1.14741857,1.097514248,1.057960067,1.018405886,0.978851705,1.166858604,0.993294267,1.022379296,1.053380368,1.09860682,1.005830962,1.013969936,1.002749804,0.970387548,0.754264708,0.680616249,0.6322097247684266,0.5872459505323532,0.5454800723651723,0.5066846507460433,0.47064842201929624,0.43717514794083856
Upper middle income,UMC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.803388014,1.8587529692,1.9141179244,1.9694828796,2.0248478348,2.08021279,2.1631326956,2.2460526012,2.3289725068,2.4118924124000003,2.494812318,2.698207291,2.901602264,3.104997237,3.30839221,3.511787183,3.940926008,3.959122038,4.062146462,3.580560306,3.380432524,3.444297104,3.381420142,3.385127879,3.35939983,3.616055614,3.414554521,3.522200683,3.099983137,3.346924837,2.753283967,2.693934557,2.459637489,2.63103795,2.685114853,2.730061987,2.73045847,2.703249303,2.780190526,2.628540266,2.68215847,2.809037608,2.997002619,3.179031994,3.278847123,3.300944762,3.426331814,3.588711296,3.7209563123479166,3.8580745945861135,4.000245723927503,4.062146462,4.062146462
World,WLD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,3.067741218,2.9331829484000003,2.7986246788,2.6640664092,2.5295081396,2.39494987,2.6331951332,2.8714403964,3.1096856596,3.3479309228,3.586176186,3.6929079158,3.7996396456,3.9063713754,4.0131031052,4.119834835,4.023355016,3.926875197,3.830395378,3.733915559,3.63743574,3.4204697,3.3626512676666667,3.3048328353333334,3.247014403,3.189195970666667,3.131377538333333,3.073559106,3.0157406736666665,2.9579222413333333,2.900103809,2.768852478,2.669518489,2.891210548,2.761350217,2.631489886,2.67138903,2.67650442,2.653167978,2.607104297,2.620083687,2.68405409,2.778955771,2.816237694,2.767637159,2.693567832,2.725942013,2.881120239,2.903213486054111,2.9254761503920914,2.94790953115372,2.9705149374409463,2.993293688394287
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.170626998,0.1734642983,0.1763015986,0.1791388989,0.1819761992,0.1848134995,0.1876507998,0.1904881001,0.1933254004,0.1961627007,0.199000001,0.205963636,0.212927271,0.219890906,0.226854541,0.233818176,0.240781811,0.247745446,0.254709081,0.261672716,0.268636351,0.275599986,0.281183322,0.286766658,0.292349994,0.29793333,0.303516666,0.309100002,0.2893333336666666,0.2695666653333333,0.249799997,0.2548199973,0.2598399976,0.2648599979,0.2698799981999999,0.2748999985,0.2799199988,0.2849399991,0.2899599994,0.2949799997,0.3,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39,0.36842490566037733,0.34804336182271267,0.32878934037244484,0.31060046592014284,0.29341781372999454
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.102675915,5.0611271145,5.019578314,4.9780295135,4.936480713,4.8949319125,4.853383112,4.8118343115,4.770285511,4.7287367105,4.6871879100000005,4.6456391095,4.604090309,4.5625415085,4.520992708,4.4794439075,4.437895107,4.3963463065,4.354797506000001,4.3132487055,4.271699905,4.187099934,4.160699844,4.086200237,4.138999939,4.138800144,4.069699764,3.970000029,3.935499907,4.132100105,4.02489996,3.998699904,4.013400078,3.831399918,3.017100096,3.190000057,3.140000105,3.049999952,3.049999952,3.029999971,3.26,3.26,3.14,3.07,3.01,3.08,3.12,3.09,3.05,3.01,2.99,2.88,2.88,2.89,2.8593218709673076,2.8289693985439395,2.7989391257972023,2.769227632490677,2.739831534694675,2.710747484400833,2.6819721691408,2.6535023116089693,2.625334669289215
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.187407494,3.1529167417,3.1184259894,3.0839352371,3.0494444848,3.0149537325,2.9804629802,2.9459722279,2.9114814756,2.8769907233,2.842499971,2.8203687216875,2.798237472375,2.7761062230625,2.75397497375,2.7318437244375,2.709712475125,2.6875812258125,2.6654499765,2.6433187271875,2.621187477875,2.5990562285625,2.57692497925,2.5547937299375,2.532662480625,2.5105312313125,2.488399982,2.5586999655,2.628999949,2.564399958,2.499300003,2.400274992,2.301249981,2.20222497,2.103199959,2.1023999455,2.101599932,2.1007999185,2.099999905,2.0333332541666667,1.966666603333333,1.8999999525,1.8333333016666664,1.7666666508333333,1.7,1.718181818181818,1.7363636363636363,1.7545454545454544,1.7727272727272727,1.7909090909090908,1.809090909090909,1.8272727272727272,1.8454545454545452,1.8636363636363635,1.8818181818181816,1.9,1.918722847026994,1.9376301914228282,1.9567238512485625,1.9760056624806666,1.995477479187561,2.015141173707898,2.0349986368305983
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.180000067,3.0,3.089999914,3.200000048,3.200000048,2.589999914,2.944999933,3.299999952,2.999999976,2.7,2.6,2.6,2.55,2.5,2.4120621788974694,2.327217581947043,2.245357404591874,2.166376669489377,2.0901740918884757,2.0166519497422226,1.9457159583892223,1.8772751496431541,1.8112417551353357,1.7475310937607258,1.6860614630830297,1.6267540345596432,1.569532752452073
