Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.85890961,57.1661911,57.61875153,58.18001938,58.14118958,58.53063965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,40.29465103,40.55083084,41.29927063,42.03242111,42.82516098,43.60493851,44.82331848,45.16337967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,46.47531128,46.94826126,47.53086853,48.11101151,48.67683029,48.89918137,49.61643982,50.50421906,51.30672836,51.98210907,52.9797287,53.85493088,54.79576874,55.81391144,56.86386108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,97.97561646,97.99900055,98.03502655,98.06433868,98.0940094,98.12998199,98.21289063,98.27741241,98.34538269,98.40634918,98.46269989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,48.93144989,49.15468979,49.75984955,50.37120819,50.96118164,51.03834152,51.83272934,52.76974869,53.3884697,54.17229843,54.81010818,55.44052124,56.32580948,57.06465912,57.7493515,58.63788986,59.1237793,60.11907959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.69100189,65.87666321,66.96806335,68.18392944,68.7624588,70.37612915,70.9697113,72.2486496,73.2317276,74.16797638,75.00071716,76.17424774,79.9597702,80.60751343,80.46115112,81.70510864,82.22357178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.69446945,63.85950851,65.0514679,66.38844299,67.03752899,68.75820923,69.42568207,70.83397675,71.91036224,72.93437195,73.8549118,75.09319305,79.31362152,80.013237,79.82717133,81.20288849,81.76083374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.1921196,63.35945129,64.56790161,65.92337036,66.58144379,68.32592773,69.00263214,70.43041229,71.52169037,72.55986786,73.49314117,74.74855042,79.0273819,79.73667908,79.54802704,80.94316864,81.50932312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,93.67173767,94.52513885,94.71340942,94.9094696,95.1004715,95.29019165,95.38358307,95.56111908,95.69683838,95.81835938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,94.30168152,95.02438354,95.18760681,95.35749817,95.52458954,95.70230103,95.7953186,95.95889282,96.08641052,96.20008087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98574066,58.51531982,59.02735901,59.42491913,59.93983841,60.4063797,60.50907135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52944183,44.14019012,44.51099014,45.1465683,45.72388077,46.06182098,46.38306046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,61.72467041,61.90140915,62.2448616,63.09381866,63.98891068,64.55648804,65.509758,66.24497223,67.1964798,68.07701111,68.86338806,69.5947113,70.46546173,72.76802063,73.41287994,73.70613861,74.54901886,75.14839172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,58.61904144,58.77872849,59.10680008,59.85342026,60.64067841,61.15826035,61.97893143,62.65554047,63.4993515,64.29026794,65.00496674,65.67150116,66.48439789,68.53090668,69.16275787,69.50884247,70.27472687,70.89208984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
