Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.10482955,66.29326404,66.20903418,66.10779818,65.9444171,65.62088009,65.49900121,65.34342152,65.09134939,64.92116352,64.7750588,64.5772573,64.40777679,64.03414137,63.76287192,63.09503703,62.53343926,62.18020053,61.85152628,61.25730106,60.31155576,59.52836933,59.4338339,58.82724912,58.2669856,57.80749808,57.3140439,56.75445859,56.16416289,56.60998146,56.37662059,55.75077488
Africa Western and Central,AFW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.21057152,60.96108114,60.80054757,60.56913994,60.35274964,59.97460465,59.47615842,58.90652089,58.44888611,57.80137074,57.2186535,56.57904606,55.92458781,55.08857403,54.52900626,53.96899703,53.14049901,52.31649642,51.38594201,50.43360699,49.87306995,48.99819984,48.18619398,46.87657702,45.86883992,46.15354477,46.01227489,45.63892156,45.58444728,45.85619173,45.63830926,45.09103388
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4970395,31.58044638,30.7048613,30.3942331,30.0461644,29.16139593,29.05014385,28.42506768,27.89389299,27.95888611,27.06656061,26.45201009,26.34618845,26.41157772,25.56913532,24.85087105,24.23888518,23.2073414,22.25137323,21.30361869,20.93802551,20.27358931,20.14289908,19.77954738,18.85639346,18.3211648,18.13900831,17.08060386,16.8113541,16.73339901,16.36903029,16.03915902
Caribbean small states,CSS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17376975,21.7909366,20.23484803,19.92534269,18.82479996,18.14355279,17.02759106,16.35200094,16.07470133,15.670594,15.46717203,14.69220973,14.46945059,13.27592947,12.86481354,12.8778597,12.32535719,12.2316146,12.2470285,12.16765797,12.04146792,12.11919548,12.04580838,12.20416175,12.04926307,11.60925961,11.60480601,11.23695985,10.70009088,10.76433204,10.86122604,10.52729848
Central Europe and the Baltics,CEB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5600554,23.32433151,22.98218515,22.53970165,22.29164924,21.36578107,21.55148733,21.29763679,21.40268843,21.24814838,20.78333112,18.80721633,18.10859433,16.55449465,16.00675969,14.85971221,13.93969474,13.19722493,13.11862166,13.4522848,12.994494,12.89215447,12.46058191,12.00148443,11.39960629,10.36661869,10.14385397,9.692674908,9.269666988,9.260959728,8.245119078,8.044503149
Early-demographic dividend,EAR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.60684091,52.36817491,51.97101744,51.71327786,51.28083568,50.70899238,50.18427006,49.81227002,49.46523701,49.06235282,48.13645616,47.30513519,46.48260034,45.19193509,44.26704981,43.66029135,43.11090641,42.83223903,42.33900437,41.72534075,40.5734937,39.35436222,38.6824579,37.96294363,37.04301003,36.28457186,35.51838872,34.5547567,34.05676836,36.07129475,35.39727829,34.61126776
East Asia & Pacific,EAS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.39972772,52.45669228,50.81245881,49.23027632,47.54160463,46.17852966,45.49030536,45.65538683,45.83850699,45.68182877,45.30419164,45.19232703,44.589931,42.70214668,41.16825844,39.33470331,37.90122101,36.96594675,35.84402099,34.73694451,33.36734118,32.42833397,30.69407468,29.11805263,27.99165069,27.00550562,26.28336895,25.40637028,24.44088951,23.73155873,23.17269551,22.97146387
East Asia & Pacific (excluding high income),EAP,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62756186,57.63262369,55.81631124,54.07420602,52.19671875,50.68701061,49.92280602,49.95411347,50.10643328,49.94350462,49.53245036,49.40565856,48.7279455,46.65375925,44.98154853,42.9784512,41.40898542,40.38433912,39.10950838,37.89991669,36.40444327,35.36954654,33.49204402,31.78347177,30.56110266,29.50552042,28.73760105,27.78973497,26.74535459,25.97641214,25.32954947,25.12505581
East Asia & Pacific (IDA & IBRD countries),TEA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.71314852,57.70347765,55.86230505,54.09625732,52.19228511,50.66164632,49.88539899,49.91864235,50.07855098,49.91705905,49.5070545,49.38343231,48.70269483,46.60665378,44.91916202,42.89268651,41.30543983,40.27279084,38.98365345,37.76043346,36.2493713,35.20530297,33.30641107,31.57902271,30.34210979,29.27821595,28.49854028,27.5366262,26.48146265,25.70020676,25.05044712,24.84744193
Euro area,EMU,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.391601425,7.106052163,6.795862235,6.607186701,6.331072338,6.135240931,6.056266452,5.783855904,5.542285778,5.258906574,5.124384842,4.968880961,4.882826833,4.538286259,4.437695998,4.328505122,4.114927452,3.652514609,3.676089778,3.649927607,3.516101632,3.490102184,3.420129065,3.346911632,3.250150043,3.201832757,3.097563954,3.005578701,2.946938349,2.89901997,2.997464823,2.885472507
