Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
High income,HIC,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.38135694,29.97629979,29.39286747,28.94218018,28.64339046,28.332055,28.0929051,27.66933203,27.14137067,26.90737686,26.56100828,26.23037531,25.93032239,25.67666181,25.36019652,25.31250053,25.21987441,24.84396338,23.63796447,23.18839629,23.12345334,22.92646843,22.84182847,22.82849149,22.72087917,22.68123051,22.70901174,22.69656422,22.47341008,22.36196521,22.09214185,21.9074907
Low income,LIC,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.863598543,8.812609461,8.787529171,8.756945698,8.756560003,8.755293612,8.719957554,8.679154528,8.680204673,8.632457646,8.70835093,8.7629127,8.74709094,8.857867387,8.952409014,9.068356327,9.217504269,9.436807766,9.594782104,9.783598053,9.836401228,9.763586002,9.779359069,9.884021802,9.80543651,9.668283982,9.636566856,9.594965047,9.555086863,9.695147481,9.678524485,9.783535535
Lower middle income,LMC,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45791031,15.28892798,15.21657536,15.301779,15.21024015,15.3605424,15.44645454,15.48494439,15.7312214,15.84086202,16.16363345,16.4025349,16.86191157,17.25968569,17.64700912,18.08211781,18.58934634,18.93641449,19.53287918,20.11508682,20.60958313,21.27731836,21.48434845,21.66044846,21.8750351,22.08314788,22.29402189,22.50389376,22.61862566,22.10101335,22.7311814,23.3758501
Upper middle income,UMC,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.33299978,22.45095798,22.82238475,22.90694695,23.07752094,23.35929883,23.41357575,23.15013325,22.80616238,22.55875241,22.50036697,21.97942243,21.9794802,22.54917705,23.39919173,24.23274936,25.22167395,25.36515169,25.44060794,26.01316696,26.49707609,27.08655633,26.98276777,26.99891239,26.63130165,26.69923454,26.85622627,27.08969791,27.2285023,27.47901734,27.86578204,27.85185452
World,WLD,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43905103,21.31950789,21.30254121,21.22873623,21.18687813,21.25163948,21.22807448,20.99849002,20.77448606,20.6254661,20.60276817,20.34396513,20.39759811,20.71207849,21.13915833,21.62677406,22.19405429,22.28016875,22.24320804,22.576208,22.9230627,23.3406839,23.31998793,23.36576823,23.23341812,23.2847037,23.39283175,23.52590868,23.54688411,23.4162545,23.73513713,23.89216662
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80026003,10.72612647,10.53213559,10.39469749,10.29500631,10.19702863,9.930200591,9.684437235,9.445678067,9.207863066,9.007952555,9.719544023,10.12111761,10.45542877,11.07454055,11.53362141,12.01474489,12.41684233,13.74544811,15.02986621,15.7892578,17.14899001,19.53610242,22.04674059,20.71353385,19.29598519,18.02645302,18.14374101,18.22811638,18.48132186,18.63534314,18.34007336
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17276418,12.02418794,12.1526268,12.27668379,12.47970019,12.22378194,12.11189904,12.21400826,12.57128307,13.0612323,13.66967823,14.25140148,14.08322186,15.10596798,15.12808837,15.33001197,16.46580497,17.77791464,19.94069559,20.59283929,18.86459512,17.27525336,16.87795578,17.7400567,18.66981887,19.37980985,19.38128003,19.74565984,20.15066636,20.62804688,21.17753018,21.40014483
Algeria,DZA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06773396,24.99652126,24.86769768,24.77131672,24.75978316,24.72430131,24.71533043,24.78029721,24.70893467,24.81204243,25.00998283,24.804987,24.68083927,26.78453876,27.56190588,28.12663091,28.76392609,29.27809384,29.82393754,30.37923042,30.85737509,30.49006564,30.1393749,30.96356572,31.23106185,31.37365664,30.98251629,30.84750658,30.84207628,30.84313998,30.9429144,30.85099849
American Samoa,ASM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
