Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.93724957,23.8240644,23.94134091,24.07906981,24.24713538,24.5545333,24.69302419,24.87805824,25.15119338,25.33087685,25.36014985,25.52900087,25.75978128,25.97160141,26.23385703,26.85968251,27.42930018,28.15953693,28.53774833,29.09330781,29.86424912,30.55482255,30.55035049,31.09910441,31.53298496,32.00949763,32.4964864,33.09705182,33.79459431,33.41660178,33.68037601,34.13806876
Africa Western and Central,AFW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88095353,29.09330192,29.2247318,29.41432262,29.58634509,29.89078017,30.30209755,30.8198398,31.21651796,31.67977207,32.20227558,32.64210017,33.20605026,33.94521843,34.59209678,35.22473908,36.12512077,36.95218568,37.85806368,38.7632944,39.34723204,39.87832559,40.30389792,41.09357682,41.7198519,41.42664639,41.29462854,41.46396818,41.28421512,40.68784988,40.69368234,41.13784554
Arab World,ARB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.96272008,45.78053803,46.7069827,47.05170584,47.4949697,47.9166848,48.46962588,49.07631851,49.64918334,49.99599279,50.88914677,51.74178237,52.00408271,51.57826428,51.77887843,52.09889168,52.2289054,52.54144744,53.16709997,53.45795223,54.35141712,54.9543425,55.265205,55.51350957,56.12982739,56.15469155,55.98472059,57.09193284,57.60555724,58.07341462,58.77525495,59.37925347
Caribbean small states,CSS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6298428,57.40559596,59.22270246,59.72297954,59.97485514,60.44333713,62.16486976,62.3603736,63.01905643,63.64901315,63.55493249,64.29634586,64.5366798,64.86787251,65.17657397,65.20329906,65.43371122,65.52193109,66.42627484,67.09571712,67.65477239,67.86573185,68.02723386,68.06361504,68.45074576,68.83473131,69.05336248,69.12264751,69.97214997,70.02913481,69.02375686,69.3046799
Central Europe and the Baltics,CEB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.45563467,41.33353977,42.26405494,43.14237731,43.98249416,44.86998214,45.05387431,45.74924135,46.64336954,47.44943622,47.90278153,49.64448794,50.50457896,51.38234459,51.95700469,52.78974038,53.07356562,53.25723267,54.80785436,55.57888723,55.83652465,56.24907843,56.83436351,57.09184218,57.78684546,58.14011544,58.12113446,58.46771995,58.84576044,59.03944851,59.88841666,60.29375224
Early-demographic dividend,EAR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.58969411,30.84881781,31.27655616,31.56172809,31.95192441,32.31434702,32.76778893,33.00658802,33.17631733,33.46001843,34.11288043,34.83328542,35.44462934,36.36897481,36.94728759,37.20977466,37.27814907,37.3872953,37.52414642,37.5298436,38.08931931,38.69693482,39.20859714,39.71543481,40.43407841,41.14338041,41.8205561,42.63746366,43.26196428,41.91869508,42.10509607,42.15565463
East Asia & Pacific,EAS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.41342595,26.12080437,27.27810911,28.63694409,30.06260773,31.05812959,31.60392611,31.92324224,32.10308558,32.5936744,33.01698659,33.74659056,34.25800758,35.55092028,36.13515193,36.99804038,37.41084185,38.15039595,39.026686,39.57236157,40.4093221,40.76881159,42.59001583,44.14608849,45.53200179,46.21849215,46.64196496,47.16414736,47.82867251,48.18220563,48.25964622,48.60615071
East Asia & Pacific (excluding high income),EAP,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65432296,22.38168732,23.57442756,25.02908718,26.55267744,27.59507636,28.14896411,28.46402389,28.65087423,29.15424206,29.53048266,30.27349313,30.8326491,32.17702075,32.74841646,33.66479795,34.07146366,34.83407556,35.71956599,36.27800314,37.16798807,37.5415828,39.50594296,41.19209551,42.69087531,43.37784367,43.80717696,44.3390205,45.00189686,45.36556873,45.45858141,45.80521834
East Asia & Pacific (IDA & IBRD countries),TEA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52136366,22.2565797,23.46286326,24.93463386,26.4767244,27.53059099,28.08927001,28.40496701,28.58981883,29.09512322,29.46956386,30.21643248,30.77652303,32.13253321,32.70469374,33.62745994,34.03403212,34.80034009,35.69158713,36.25202166,37.14828855,37.52045252,39.50519606,41.20794586,42.72193612,43.4114619,43.84261763,44.37779742,45.04420943,45.41718183,45.50922964,45.85402464
Euro area,EMU,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.05762844,59.81576203,60.77174774,61.6144135,62.24970618,63.02617968,63.42580635,63.58053631,64.22479537,64.73107148,65.11996781,65.65952135,66.39062923,67.02035568,67.65209751,67.93660336,68.27736303,69.25650936,70.40868196,71.14548717,71.56955577,72.03666772,72.62965468,72.8808563,73.06606254,73.28145064,73.34105684,73.45159037,73.59867518,73.6400592,73.81937235,74.13371093
