Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,41.30484901,42.78251611,42.68103839,40.26742374,40.2101717,43.35283087,42.05379528,42.54574966,44.07357017,45.68074832,48.95022501,49.94074854,52.67582941,53.00996138,52.07435653,52.14103017,52.27226166,53.11667336,53.37698648,52.11543297,51.49040737,54.37611786,54.38379861,53.18395852,52.43906642,50.13755166,48.46467005,53.28772566,53.65485601,53.45919489,53.59842429,53.81185804,53.43374403,53.80371016,53.26533183,53.5218018,53.2565033,52.37621519,51.52777239,50.10695834,47.73578176
Africa Western and Central,AFW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,47.7041218,50.02619856,48.93157367,48.09328526,45.5494171,46.47604394,44.99423875,44.19283619,43.45665439,43.36276721,42.91550673,43.28275614,44.1254184,43.36208532,39.45824158,36.84773148,37.30830737,42.03087352,41.35434657,41.28404052,42.79817395,39.13363378,39.48636696,41.52495472,41.64658379,44.92312153,46.29197296,45.06693517,47.1952281,46.84501685,45.29023036,46.4121132,47.69295385,49.05436586,53.39616155,54.15511673,51.36067952,49.10496854,48.10803111,46.49128582,44.75250547,43.90497222
Arab World,ARB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,31.9868351,33.82717149,36.60130975,39.65545874,36.4234431,32.87842419,36.23615924,44.15774445,48.4204525,48.8477521,48.66472006,50.71100403,48.08024771,51.05673904,50.67672411,41.26372959,48.98906231,43.46622265,45.30332631,47.30250842,47.40604113,45.31153991,45.91071687,48.84379473,46.43098852,42.11391301,44.23939052,45.29621093,44.14798194,42.93405323,39.7076374,38.01170117,39.10372089,37.03554784,44.67354962,43.41998105,39.84371244,40.67637064,42.57997352,45.11787209,52.97289355,54.84704245,52.7701542,49.00398471,50.52336827,55.121823,48.69432303,43.25813414
Caribbean small states,CSS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30490408,59.81919059,61.94621618,65.79371195,59.60694384,57.97146752,57.58717956,58.71153177,63.22713783,64.29161984,65.59571198,63.85558956,65.53622657,66.47289676,63.44738302,61.7286399,59.55731769,57.2038678,57.50890354,54.31784192,60.99631865,59.60442053,57.79154748,59.17155203,60.00396048,60.72176097,62.80675458,63.79667044,62.38725918,61.41943188,62.65280457,63.12371798,58.17050295,52.76789341
Central Europe and the Baltics,CEB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6711557,51.14688613,51.61981692,52.72723264,53.8910979,55.17960213,55.60937609,56.31495642,55.96876143,54.63940176,54.98523287,54.83691427,54.71006612,54.79505734,56.15597347,55.40118999,54.00622021,55.2851,56.11489503,55.48886253,55.4426676,56.01866921,56.78490004,57.26629204,57.81129836,58.52955624,58.3239562,58.57052696
Early-demographic dividend,EAR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,44.36199383,44.35357465,44.02895354,44.24843283,43.93809226,43.66681217,44.38049213,44.36060758,42.05903661,38.60789403,41.1373692,41.36398693,41.44993232,43.24058069,43.17125976,43.94229896,44.73362921,45.10936724,46.4445919,45.89486329,46.77568241,46.8178056,44.9465807,46.42836452,46.0328451,46.54791978,48.75450037,50.04169081,50.59222195,50.53789532,49.83224798,49.0619821,49.8225772,51.1719541,51.42856713,51.04621361,52.48774428,51.6057347,51.45295366,50.48882851,49.85890644,49.23601349,49.36779985,48.95805313,50.9292304,49.79695596,49.23953704,49.95110692,50.5499198,51.28473253,57.13590609,57.07763588,56.65353979,56.16121417,57.09981176,57.08098825,55.4596474,54.31006333
East Asia & Pacific,EAS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.49925157,59.90125586,61.16998447,59.80991579,59.14537688,58.96095291,57.95271088,58.20216915,58.91290324,59.94636954,60.02512549,60.4924176,60.68802034,60.59483246,60.13230106,59.69472152,58.60663315,57.76573838,57.31640953,58.10614045,56.99708751,56.72959947,56.84185055,56.36134404,56.2331742,56.93551547,58.00483902,57.70671948,57.82154862,58.50219355,58.40065163,57.16978305,56.62277029
East Asia & Pacific (excluding high income),EAP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,54.17665428,53.28064305,48.02245484,44.02156257,43.97237244,45.13648101,41.57495726,43.17560287,43.49602871,43.21187674,39.88560518,39.2812539,39.73434823,37.66825655,35.57041523,33.87895007,32.20250652,33.75143034,34.65550041,32.84883311,32.07245042,31.36582209,30.95512437,31.97256373,33.64424623,38.00539189,37.26010731,36.61727227,36.82546775,38.12803093,37.35432362,38.58392306,39.79360056,39.76157574,40.13941399,39.25707696,38.9007607,39.31187435,39.73217701,40.90321482,41.14692556,42.7668731,43.58330916,43.2083327,42.4874626,42.52725319,42.73667283,43.43972641,43.06245132,44.43733355,44.34220836,44.38437918,45.45405167,46.77948413,48.02379245,50.35806629,51.7369627,51.99644559,52.55776457,53.50373354,53.69548071,52.69323331,51.94760782
East Asia & Pacific (IDA & IBRD countries),TEA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,54.2021036,53.30567147,48.04501325,44.04224156,43.99302833,45.15768373,41.59448697,43.19588448,43.51646084,43.23217539,39.90434132,39.29970615,39.75301331,37.6859511,35.58712432,33.89486461,32.21763355,33.76728498,34.67177972,32.86426375,32.08751636,31.38055609,30.96966544,31.98758275,33.66005051,38.02324481,37.27761014,36.63447312,36.8427664,38.14594146,37.3718707,38.60204774,39.81229348,39.78025362,40.15826935,39.27551786,38.91903421,39.33034098,39.75084108,40.92242898,41.1662542,42.78696271,43.60378229,43.22862968,42.50742095,42.54723024,42.75674825,43.46013209,43.08267978,44.45820785,44.36303798,44.40519648,45.47525005,46.80136815,48.04626846,50.38170421,51.76120667,52.02080157,52.58235592,53.52879971,53.72064431,52.71793493,51.97195097
Euro area,EMU,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.02664663,59.69622089,61.3861875,61.44232851,61.33799063,61.81826714,61.99442884,62.09675782,62.35255779,62.54618612,63.04962938,63.60316122,64.00775847,64.06395694,64.27326082,63.95780419,63.99804116,64.8464504,66.74253709,66.09624075,65.94380648,66.1109081,66.35800792,66.41728484,66.02900208,65.93008017,65.79655678,65.85866318,65.96867183,66.41080959,65.68119263,65.46449889
