Country Name,Country Code,Region,Income Group
Afghanistan,AFG,South Asia,0
Africa Eastern and Southern,AFE,,
Africa Western and Central,AFW,,
Albania,ALB,Europe & Central Asia,2
Algeria,DZA,Middle East & North Africa,1
American Samoa,ASM,East Asia & Pacific,3
Andorra,AND,Europe & Central Asia,3
Angola,AGO,Sub-Saharan Africa,1
Antigua and Barbuda,ATG,Latin America & Caribbean,3
Arab World,ARB,,
Argentina,ARG,Latin America & Caribbean,2
Armenia,ARM,Europe & Central Asia,2
Aruba,ABW,Latin America & Caribbean,3
Australia,AUS,East Asia & Pacific,3
Austria,AUT,Europe & Central Asia,3
Azerbaijan,AZE,Europe & Central Asia,2
"Bahamas, The",BHS,Latin America & Caribbean,3
Bahrain,BHR,Middle East & North Africa,3
Bangladesh,BGD,South Asia,1
Barbados,BRB,Latin America & Caribbean,3
Belarus,BLR,Europe & Central Asia,2
Belgium,BEL,Europe & Central Asia,3
Belize,BLZ,Latin America & Caribbean,2
Benin,BEN,Sub-Saharan Africa,1
Bermuda,BMU,North America,3
Bhutan,BTN,South Asia,1
Bolivia,BOL,Latin America & Caribbean,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,2
Botswana,BWA,Sub-Saharan Africa,2
Brazil,BRA,Latin America & Caribbean,2
British Virgin Islands,VGB,Latin America & Caribbean,3
Brunei Darussalam,BRN,East Asia & Pacific,3
Bulgaria,BGR,Europe & Central Asia,2
Burkina Faso,BFA,Sub-Saharan Africa,0
Burundi,BDI,Sub-Saharan Africa,0
Cabo Verde,CPV,Sub-Saharan Africa,1
Cambodia,KHM,East Asia & Pacific,1
Cameroon,CMR,Sub-Saharan Africa,1
Canada,CAN,North America,3
Caribbean small states,CSS,,
Cayman Islands,CYM,Latin America & Caribbean,3
Central African Republic,CAF,Sub-Saharan Africa,0
Central Europe and the Baltics,CEB,,
Chad,TCD,Sub-Saharan Africa,0
Channel Islands,CHI,Europe & Central Asia,3
Chile,CHL,Latin America & Caribbean,3
China,CHN,East Asia & Pacific,2
Colombia,COL,Latin America & Caribbean,2
Comoros,COM,Sub-Saharan Africa,1
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,0
"Congo, Rep.",COG,Sub-Saharan Africa,1
Costa Rica,CRI,Latin America & Caribbean,2
Côte d'Ivoire,CIV,Sub-Saharan Africa,1
Croatia,HRV,Europe & Central Asia,3
Cuba,CUB,Latin America & Caribbean,2
Curaçao,CUW,Latin America & Caribbean,3
Cyprus,CYP,Europe & Central Asia,3
Czechia,CZE,Europe & Central Asia,3
Denmark,DNK,Europe & Central Asia,3
Djibouti,DJI,Middle East & North Africa,1
Dominica,DMA,Latin America & Caribbean,2
Dominican Republic,DOM,Latin America & Caribbean,2
Early-demographic dividend,EAR,,
East Asia & Pacific,EAS,,
